question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
what words describe [12 Angry Men],william friedkin,william friedkin,"jury, courtroom, drama, justice, anger, prejudice", drama -> drama film industry of united states of america -> drama film industry of united states of america -> drama film industry of united states of america -> drama film industry of united states of america -> drama film industry of united states of americ
describe [The War of the Worlds],bd-r|classic|technicolor|byron haskin,barré lyndon,The War of the Worlds is a science fiction novel by H.G. Wells., horror film -> horror film sequel -> horror sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel
which topics is [Looker] about,michael crichton|visual effects,michael crichton,N/A,crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe film [Rocky II],franchise|sylvester stallone|carl weathers|burt young|burgess meredith|talia shire|fight|stallone|tony burton|rocky,talia shire,"underdog, sequel, sports drama, boxing, perseverance, determination",boxing movie -> boxing movie -> boxing movie sequel -> sequel to boxing movie sequel to boxing movie sequel to boxing movie sequel to boxing movie sequel to boxing movie sequel to boxing movie sequel to boxing movie sequel to boxing movie sequel to boxing movie sequel to boxing movie
describe [P.S. I Love You] in a few words,richard lagravenese,richard lagravenese,Romantic Drama., romance drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe [The Deceivers],bd-r|nicholas meyer,nicholas meyer,N/A (More context or clarification is needed to answer this question),war film -> bd-r DVD -> war film -> bd-r DVD -> war film -> bd-r DVD war film bd-r DVD war film bd-r DVD war film bd-r DVD war film b
which words describe film [The House That Dripped Blood],bd-r,peter duffell,"horror, supernatural, anthology", horror film -> horror film directorial debut by james w. harrison jr. jr. jr. jr. jr. jr. jr. jr. jr. jr. jr. jr
"can you describe movie [The Long, Long Trailer] in a few words",vincente minnelli,vincente minnelli,"The Long, Long Trailer: A comedy film starring Lucille Ball and Desi Arnaz about a newly married couple who embark on a cross-country trip in a trailer.", comedy drama music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music
can you give a few words describing what [The Phantom Carriage] is about,criterion,criterion,The Phantom Carriage is about the legend that the last person to die on New Year's Eve must take up the reins of Death's chariot and work tirelessly collecting fresh souls., horror film -> horror film directorial debut of josef von sternberg -> josef von sternberg -> horror film directorial debut of josef von sternberg -> horror film directorial debut of josef von sternberg -> horror
which words describe [The Cardinal],bd-r,bd-r,"red, bird, songbird, North America, male, crest, beak, sharp, seed-eater, territorial.",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe film [Dredd],action|violence|3d|cast|karl urban|olivia thirlby|lena headey,3d,"Action, Sci-fi, Thriller.",action movie -> action movie sequel -> sequel to action movie sequel -> action movie sequel sequel to action movie sequel sequel to action movie sequel sequel to action movie sequel sequel to action movie sequel sequel to action movie sequel sequel to action movie sequel sequel to action movie
what words describe [The Maiden Heist],morgan freeman|heist|christopher walken,christopher walken,"Art, Comedy, Theft, Museums, Retirement, Redemption",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe [The Flame of New Orleans],new orleans,new orleans,"Comedic, Romantic, Historical",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe film [Out of the Blue],dennis hopper|punk rock,robert sarkies,N/A,crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what topics is [Wonderland] about,michael winterbottom,bd-r,N/A, drama -> drama thriller thriller drama mystery thriller mystery thriller mystery thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
can you describe movie [A Walk Among the Tombstones] in a few words,liam neeson,scott frank,A Walk Among the Tombstones is a crime thriller movie about a former cop who becomes a private investigator and takes on a drug lord's case to find his kidnapped wife.,crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what terms are applicable to [Frank],michael fassbender|maggie gyllenhaal|domhnall gleeson,domhnall gleeson,The question is incomplete and does not specify which Frank is being referred to. Please provide more information.,crime drama -> crime drama -> crime drama thriller -> thriller genre -> thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller genre thriller
which words describe movie [Fog City Mavericks],san francisco,san francisco,"documentary, San Francisco, surfing, Mavericks, interviews, pioneers, big wave surfing", comedy drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama sport drama
what words describe film [Elephant White],bangkok,bangkok,"organized crime, vengeance, hitman, violence",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
describe [Last Tango in Paris],paris|sex|erotic|marlon brando|bernardo bertolucci,bernardo bertolucci,"N/A (As an AI language model, I cannot provide opinions or descriptions of movies. However, I can provide factual information such as the director's name or the year it was released if requested.)", drama -> drama thriller -> drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
describe the movie [The Lost Patrol] in a few words,john ford,john ford,The Lost Patrol is a movie about a British Army patrol that gets lost in the desert during World War I.,war film -> bd-r DVD -> war film -> bd-r DVD -> war film -> bd-r DVD -> war film -> bd-r DVD -> war film -> bd-r DVD -> war film -> bd
what words describe [The Young Poisoner's Handbook],murder,murder,"Drama, Thriller, Biography.",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
can you give a few words describing [Bad Girls Go to Hell],exploitation,exploitation,N/A, horror film -> horror comedy film -> horror comedy film sequel -> horror comedy sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel
can you give a few words describing [The Old Man and the Sea],ernest hemingway|john sturges,ernest hemingway,A novel by Ernest Hemingway about an old fisherman's struggle to catch a giant marlin., drama -> drama film industry of the united states of america -> drama film industry of the united states of america -> drama film industry of the united states of america -> drama film industry of the united states of america -> drama film industry of
can you describe movie [Brave] in a few words,animation|pixar|witch|emma thompson|visuals|princess|billy connolly,bd-r,Brave: A Scottish princess defies tradition and fights for her independence in order to avoid marriage to a prince.,animals -> fantasy adventure drama romance comedy adventure drama romance comedy adventure drama romance comedy adventure drama romance comedy adventure drama romance comedy adventure drama romance comedy adventure drama romance comedy adventure drama romance comedy adventure drama romance comedy adventure drama romance comedy adventure drama romance comedy adventure drama
describe [Shrek the Halls] in a few words,christmas,christmas,Shrek the Halls is a Christmas television special featuring characters from the Shrek franchise., comedy drama fantasy musical family drama fantasy musical family drama fantasy musical family drama fantasy musical family drama fantasy musical family drama fantasy musical family drama fantasy musical family drama fantasy musical family drama fantasy musical family drama fantasy musical family drama fantasy musical family drama fantasy musical family drama
describe [Jesse James],henry king,nunnally johnson,N/A, western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama -> western drama
describe the movie [It's Pat] in a few words,saturday night live,adam bernstein,N/A, comedy short film -> short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short film comedy short
which topics is movie [Doom] about,horror|mars|monsters,john lithgow,The topics of the movie Doom are science fiction and action., horror film -> horror film sequel -> horror film sequel sequel -> horror film sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel sequel
can you give a few words describing [Just My Luck],lindsay lohan|kiss|chris pine,samaire armstrong,"N/A (As a language model AI, I cannot provide a personal opinion or description of a movie)", comedy drama romance music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music
what words describe film [Seven Days in May],bd-r|thriller|military|john frankenheimer|rod serling,john frankenheimer,Political thriller | Cold War | Military coup | President | General, war drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
describe [Old School],comedy|r|will ferrell|college|vince vaughn|fraternity|luke wilson|todd phillips,college,Old School is a 2003 American comedy film directed by Todd Phillips., comedy drama sport drama comedy drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama
what words describe film [The Last Metro],france|gérard depardieu|françois truffaut,françois truffaut,"French, drama, WWII, Paris, theatre, romance, occupation, hidden, identity",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe [Blow Dry],british|british comedy|alan rickman|josh hartnett|rachel griffiths,british,"Heat, air, styling, hair, technique, tool.", comedy drama thriller music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music
what terms are applicable to [Leila],iran|dariush mehrjui,dariush mehrjui,"Sorry, I do not have enough information to provide an answer. Please provide more context or information about who or what Leila is.", drama -> drama thriller -> thriller drama -> thriller thriller drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
describe [The Front] in a few words,woody allen|martin ritt,martin ritt,N/A,crime drama thriller music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short
which topics is movie [Seven Samurai] about,drama|japan|samurai|akira kurosawa|kurosawa|4|seven,akira kurosawa,"samurai, honor, loyalty, sacrifice, leadership, community, war, class struggle.", drama -> japanese drama -> japanese drama -> japanese drama film genre -> drama thriller genre -> japanese drama genre -> japanese drama genre thriller genre -> japanese drama genre thriller genre drama thriller genre drama thriller genre
which words describe [Eraserhead],surreal|national film registry|david lynch|lynch,surreal,"Surrealist, Horror, Black and White, Experimental.", horror film -> horror genre -> horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre
what topics is [Salvatore Giuliano] about,francesco rosi,francesco rosi,"N/A (As Salvatore Giuliano can refer to either the real-life Sicilian bandit or the 1962 film based on his life, a more specific question is needed.)",crime drama -> italy -> italy -> italy -> italy -> italy -> italy -> italy -> italy -> italy -> italy -> italy -> italy -> italy -> italy -> italy -> italy
what are some words that describe movie [Paisan],world war ii|roberto rossellini,world war ii,War drama|Anthology film|Neo-realism,italian drama film -> italian drama film -> italian drama film -> italian drama film italy -> italian drama film italy italy -> italian drama film italy italy italy italy italy italy italy it
what words describe film [Mystery Men],comedy|superhero|superheroes|william h. macy,kinka usher,"Superhero, Comedy, Parody, Action.", comedy drama mystery men
which words describe [Only Old Men Are Going to Battle],music,russian,"war, old age, military, satire, humor, nostalgia, camaraderie.",war film -> war film -> war film trilogy? -> war film trilogy? 2? 3? 4? 5? 6? 7? 8? 9? 10? 11? 12? 13? 14? 15? 16? 17? 18? 19
what topics is [Jab We Met] about,india|train|manic pixie dream girl|kareena kapoor,india,"Love, Relationships, Self-discovery, Career choices.", romance comedy drama music drama romance drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music drama music
which words describe movie [Fled],action,kevin hooks,"buddy film, action, adventure, crime, drama.", horror film -> horror film directorial debut -> horror film directorial debuting directorial debuting directorial debuting directorial debuting directorial debuting directorial debuting directorial debuting directorial debuting directorial debuting directorial debut
which topics is movie [Bulletproof Monk] about,seann william scott,r,"martial arts, Tibetan Buddhism, action-comedy",action comedy drama thriller drama thriller drama thriller drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama
describe [Lost Highway] in a few words,david lynch|patricia arquette|lynch,bd-r,A noir film about a jazz musician who begins experiencing bizarre and inexplicable events after being accused of murdering his wife., mystery thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
which words describe [Rebecca of Sunnybrook Farm],shirley temple|allan dwan,shirley temple,"N/A (As an AI language model, I cannot provide personal opinions.)", drama -> mystery thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what topics is [The Rabbi's Cat] about,algeria,joann sfar,"The topics of The Rabbi's Cat are Jewish culture, religion, and philosophy, as well as the relationships between humans and animals.", comedy drama thriller mystery thriller mystery drama thriller mystery drama mystery thriller mystery drama thriller mystery drama mystery drama thriller mystery drama mystery drama thriller mystery drama mystery drama thriller mystery drama mystery drama thriller mystery drama mystery drama thriller mystery drama mystery drama thriller mystery drama mystery drama thriller
what words describe [Lockout],prison|guy pearce|maggie grace,prison,"prohibition, exclusion, ban, suspension, shutdown, closure, obstruction, bar, impasse.",action thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what topics is [Mackenna's Gold] about,super panavision 70,super panavision 70,"treasure hunting, Western, adventure, romance", westerns
what words describe film [Son of Rambow],coming of age|1980s|school|garth jennings,garth jennings,"Coming-of-age, friendship, adventure, comedy.", comedy drama music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music
describe the movie [The Matriarch] in a few words,drama|finnish,finnish,N/A, drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what topics is [Dogville] about,drama|nicole kidman|lars von trier|james caan|grace,lars von trier,N/A, drama -> drama thriller thriller drama thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama
what terms are applicable to [Quest for Camelot],animation,animation,animated musical film,family drama -> drama thriller thriller drama family drama thriller thriller drama family drama thriller thriller drama family drama thriller thriller drama family drama thriller thriller drama family drama thriller thriller thriller drama family drama thriller thriller thriller drama family drama thriller thriller thriller drama family drama thriller thriller thriller
which words describe film [Romance],unsimulated sex,russian,"love, passion, affection, relationship, chemistry, heartbreak, longing, devotion, tenderness, intimacy, infatuation", romance comedy drama music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music music
what terms are applicable to [Why Worry?],harold lloyd,harold lloyd,N/A,crime drama -> crime drama -> crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
which topics is movie [The Assassination of Richard Nixon] about,sean penn|naomi watts|don cheadle|richard nixon,richard nixon,The Assassination of Richard Nixon is about a man named Samuel Bicke who becomes obsessed with assassinating President Richard Nixon., assassination of president nixon
what terms are applicable to [The Lizzie McGuire Movie],hilary duff,hilary duff,"Hilary Duff, Italian culture, Rome, coming-of-age, family film.",family comedy drama romance family drama comedy drama family drama comedy drama family drama drama drama family drama drama drama family drama drama drama family drama drama drama family drama drama drama family drama drama drama family drama drama drama family drama drama drama family drama drama drama family drama
which topics is movie [The Harvest Month] about,matti kassila,matti kassila,N/A, drama -> drama thriller thriller drama thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama thriller thriller drama
what topics is [Once Upon a Time in Mexico] about,action|johnny depp|plot|robert rodriguez|antonio banderas|salma hayek|convoluted plot,charlie sheen,"Mexican drug cartels, government corruption, revenge, assassination, cuisine.",crime drama -> action thriller -> crime drama -> action thriller -> action thriller -> crime drama -> action thriller -> crime drama -> action thriller -> crime drama -> action thriller -> crime drama -> action thriller -> crime drama -> action thriller -> crime drama -> action thriller
can you give a few words describing [The Towering Inferno],john guillermin|disaster film,frank m. robinson,"Towering Inferno: Disaster, Fire, Skyscraper.", disaster movie -> james stewart jr. -> bd-r DVD -> bd-r DVD special edition with dvd-r and dvd-r widescreen versions of the film and documentary about the making of the film and
which topics is movie [Things to Come] about,bd-r|alexander korda,bd-r,"future, war, progress, humanity", drama -> war film -> drama film -> drama film war film war film war film war film war film war film war film war film war film war film war film war film war film war film war film war film war film war film war film war film
describe [King Creole] in a few words,michael curtiz,michael curtiz,King Creole is a 1958 musical drama film starring Elvis Presley., music hall comedy drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music hall drama music
what topics is [King Arthur] about,england|keira knightley|medieval|clive owen|arthurian legend|ice,arthurian legend,"Knights, Round Table, Camelot, Excalibur, Guinevere, Merlin.", king arthur story line
what are some words that describe movie [Jersey Boys],music|history|new jersey,clint eastwood,"Musical, biographical, nostalgic, dramatic.",music industry
which words describe movie [Shaft],remake|christian bale|samuel l. jackson|blaxploitation|john singleton,bd-r,"action, thriller, detective",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe [Matilda],comedy|fantasy|children|danny devito|roald dahl|embeth davidtz,roald dahl,"gifted, intelligent, curious, kind-hearted, resilient, determined, independent, brave ",family drama comedy drama family drama comedy drama family drama comedy drama family drama comedy drama family drama comedy drama family drama comedy drama family drama comedy drama family drama drama family drama comedy drama family drama comedy drama family drama drama family drama comedy drama family drama comedy drama
which topics is movie [The Cable Guy] about,comedy|jim carrey|ben stiller|matthew broderick,comedy,The Cable Guy., comedy drama thriller crime drama drama crime drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama drama
what terms are applicable to [Following],r|christopher nolan|noir,james l. brooks,"Sorry, but what question are you referring to? Please provide more information.",crime drama -> crime drama -> crime drama thriller -> thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe [Monte Carlo],comedy,ernst lubitsch,"luxury, glamour, casino, yachts, Mediterranean, royalty, F1 Grand Prix, high-end shopping, beaches.",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what are some words that describe movie [Edward Scissorhands],fantasy|dark|johnny depp|family|tim burton|winona ryder|dark fantasy|vincent price|hugo award|dianne wiest|burton|depp,tim burton,"Fantasy, Gothic, Romantic, Whimsical, Dark.",danny devito filmography -> comedy drama thriller thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama thriller drama
what words describe film [Factotum],r|matt dillon|charles bukowski,charles bukowski,"alcoholism, writer, job hopping, womanizing, bleak",crime drama thriller music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short
what topics is [Treasure Island] about,disney|island|robert louis stevenson,dialogue,"pirates, treasure, adventure, mutiny, shipwrecks, seafaring life", adventure story -> adventure story -> adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story adventure story
what words describe [St. Elmo's Fire],brat pack|emilio estevez|rob lowe,brat pack,glowing|luminous|corona discharge|plasma|electrical weather phenomenon,drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
which words describe [The Searchers],bd-r|western|john wayne|vistavision|john ford,bd-r,"Western, drama, adventure, John Wayne.", westerns
describe [Dutch],john hughes,sybil,"Dutch is a West Germanic language spoken by around 28 million people, mainly in the Netherlands, Belgium, Suriname, and the Dutch Antilles.", drama -> drama thriller -> thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
describe the movie [Author! Author!] in a few words,arthur hiller,bd-r,N/A, biography -> biography of a writer -> biography of a writer who wrote a biography of a writer who wrote a biography of a writer who wrote a biography of a writer who wrote a biography of a writer who wrote a biography of a writer who wrote a biography
which words describe film [The Fifth Musketeer],bd-r,ken annakin,"Adventure, historical, drama.",musketeer
which words describe movie [The Mack],blaxploitation|richard pryor,blaxploitation,"Blaxploitation, crime, drama",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
what words describe [Auto Focus],greg kinnear|paul schrader,paul schrader,"Sharp, clear, accurate, fast, precise.",crime drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
which words describe film [The Last House on the Left],rape|remade,remade,"horror, thriller, revenge, violence, rape, gore, brutality, disturbing, intense.", horror film -> horror genre -> horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre horror genre film genre
can you describe movie [The Last of Sheila] in a few words,stephen sondheim|herbert ross,bd-r,The Last of Sheila is a mystery thriller film.,crime drama thriller music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short
which words describe [The Second Civil War],joe dante,joe dante,N/A (The question is unclear and could refer to different historical events),war film -> war film -> war film sequel -> sequel war film sequel war film sequel war film sequel war film sequel war film sequel war film sequel war film sequel war film sequel war film sequel war film sequel war film sequel war film sequel war film sequel
which words describe [The Butterfly],french,philippe muyl,"Colorful, Delicate, Flutter, Insect, Wings, Pollinator, Metamorphosis, Nectar, Antennae.", drama -> drama thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller thriller
describe [I Vitelloni],bd-r|small town|italian|federico fellini,federico fellini,I Vitelloni is a 1953 Italian comedy-drama film directed by Federico Fellini., comedy drama -> italian language -> italian language -> italian language -> italian language -> italian language -> italian language -> italian language -> italian language -> italian language -> italian language -> italian language -> italian language
describe the movie [Class of Nuke 'Em High] in a few words,cult classic|troma,lloyd kaufman,N/A, comedy horror anthology film -> anthology film -> anthology film comedy horror anthology film comedy horror anthology film comedy horror anthology film comedy horror anthology film comedy horror anthology film comedy horror anthology film comedy horror anthology film comedy horror anthology film comedy horror anthology film comedy horror anthology film
can you give a few words describing [Civil Brand],prison,neema barnette,"Female prisoners, abuse, corruption, rebellion.",crime drama thriller music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short film music video short
